nama makanan,kalori,lemak,karbohidrat,protein,satuan,angka_satuan,link,status
ayam bakar,167.0,6.63,0.0,25.01,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/daging-ayam-(panggang-bakar-dimasak)?portionid=57230&portionamount=100,000",1
ayam betutu,212.0,17.4,3.16,11.3,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/ayam-betutu?portionid=60226198&portionamount=100,000",1
ayam goreng,260.0,14.55,10.76,21.93,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/ayam-goreng?portionid=10671217&portionamount=100,000",1
ayam panggang,167.0,6.63,0.0,25.01,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/daging-ayam-(panggang-bakar-dimasak)?portionid=57230&portionamount=100,000",1
ayam pop,170.0,9.0,5.0,19.0,100 g,100.0,https://www.fatsecret.co.id/kalori-gizi/pagi-sore/ayam-pop-paha/100g,1
bakso,189.0,12.28,0.26,18.04,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/bakso-dengan-saus-(campuran)?portionid=50977&portionamount=100,000",1
bakwan,228.0,19.31,11.23,3.31,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/bakwan?portionid=5125717&portionamount=100,000",1
batagor,290.0,14.92,29.14,10.28,100 g,100.0,https://www.fatsecret.co.id/kalori-gizi/batagor/batagor/100g,1
bihun,109.0,0.2,24.9,0.91,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/bihun-(dimasak)?portionid=62530&portionamount=100,000",1
bubur ayam,155.0,5.16,15.05,11.48,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/bubur-ayam?portionid=5260590&portionamount=100,000",1
cakwe,417.0,19.84,53.36,6.59,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/cahkwe?portionid=5882003&portionamount=100,000",1
cap cay kuah,67.0,2.59,9.67,1.58,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/cap-cay-kuah?portionid=8088336&portionamount=100,000",1
coto makassar,120.0,6.33,5.36,10.54,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/coto-makassar?portionid=11043113&portionamount=100,000",1
dadar gulung,231.0,11.31,28.59,4.7,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/dadar-gulung?portionid=13982102&portionamount=100,000",1
gado gado,132.0,7.41,10.9,7.14,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/gado-gado?portionid=8730723&portionamount=100,000",1
gudeg,127.0,4.71,22.54,1.82,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/gudeg?portionid=8730706&portionamount=100,000",1
ikan goreng,200.0,11.41,2.38,20.95,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/ikan-tongkol-goreng?portionid=6406309&portionamount=100,000",1
ikan mujair,169.0,6.92,2.22,24.55,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/ikan-mujair-goreng?portionid=19268653&portionamount=100,000",1
klepon,366.0,9.34,65.82,4.75,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/klepon?portionid=5741330&portionamount=100,000",1
lontong sayur,89.0,2.1,14.77,2.78,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/lontong-sayur?portionid=7121428&portionamount=100,000",1
martabak manis,300.0,12.57,41.52,7.78,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/martabak-manis?portionid=11000827&portionamount=100,000",1
mie,137.0,2.06,25.01,4.51,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/mie?portionid=53089&portionamount=100,000",1
mie ayam,175.0,7.81,19.25,6.96,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/mie-ayam?portionid=5702650&portionamount=100,000",1
mie goreng,350.0,12.0,52.0,8.0,1 bungkus (80 g),80.0,https://www.fatsecret.co.id/kalori-gizi/indomie/mi-goreng/1-bungkus,1
nasi goreng,168.0,6.23,21.06,6.3,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/nasi-goreng?portionid=53779&portionamount=100,000",1
nasi padang,980.0,55.0,95.0,28.0,1/2 porsi (540 g),540.0,https://www.fatsecret.co.id/kalori-gizi/padang/nasi-padang-rendang/1-porsi,1
opor ayam,163.0,8.67,5.6,16.53,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/opor-ayam?portionid=9706246&portionamount=100,000",1
rawon,119.0,7.4,3.48,9.6,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/rawon?portionid=8730601&portionamount=100,000",1
sate madura,225.0,14.82,4.87,19.54,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/sate-ayam?portionid=4969313&portionamount=100,000",1
sayur asem,33.0,1.15,5.38,1.32,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/sayur-asem?portionid=6035946&portionamount=100,000",1
sosis,172.0,9.98,1.52,17.82,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/sosis-ayam?portionid=342769&portionamount=100,000",1
tahu goreng,271.0,20.18,10.49,17.19,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/tahu-goreng?portionid=61069&portionamount=100,000",1
telur ceplok,201.0,15.31,0.88,13.63,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/telur-ceplok?portionid=56528&portionamount=100,000",1
udang,144.0,2.35,1.24,27.59,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/udang?portionid=50858&portionamount=100,000",1
nasi putih,129.0,0.28,27.9,2.66,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/nasi-putih?portionid=53181&portionamount=100,000",1
paha ayam,278.0,16.55,9.86,21.09,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/paha-ayam-panggang-atau-goreng-dengan-kulit-(kulit-lapisan-dimakan)?portionid=50388&portionamount=100,000",1
pempek,195.0,5.2,23.58,12.61,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/pempek?portionid=4969140&portionamount=100,000",1
perkedel,143.0,7.46,16.52,3.05,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/perkedel-kentang?portionid=4969190&portionamount=100,000",1
rendang,195.0,11.07,4.49,19.68,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/rendang?portionid=5737373&portionamount=100,000",1
risoles,160.0,6.25,14.43,10.54,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/risoles?portionid=6667166&portionamount=100,000",1
